Title,Price,Capacity,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage
"Jim Barry 'The Lodge Hill' Shiraz 2020/21, Clare Valley",£15.99 per bottle,75CL,Shiraz,Screwcap,Australia,"Vanilla, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Cloves, Sweet Spice, Tobacco",Red,ABV 14.00%,South Australia,Bold & Spicy,2021
"Rustenberg 'RM Nicholson' 2020/21, Stellenbosch",£14.99 per bottle,75CL,Syrah,Screwcap,South Africa,"Vanilla, Black Pepper, Blackberry, Blackcurrant, Cedar, Leather, Spice",Red,ABV 14.00%,Stellenbosch,Savoury & Full Bodied,2021
"Klein Constantia Sauvignon Blanc 2020/21, Constantia",£15.99 per bottle,75CL,Sauvignon Blanc,Screwcap,South Africa,"Grass, Citrus Fruit, Floral",White,ABV 13.50%,Constantia,Fresh & Elegant ,2021
"Vasse Felix 'Filius' Chardonnay 2021/22, Margaret River",£14.99 per bottle,75CL,Chardonnay,Screwcap,Australia,"Vanilla, Butter, Green Apple, Lemon, Peach, Smoke",White,ABV 13.00%,Western Australia,Rich & Toasty,2022
"Château Fontesteau 2014, Haut-Médoc",£16.99 per bottle,75CL,Cabernet Sauvignon,Natural Cork,France,"Blackcurrant, Mint, Savoury",Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied,2014
"Rustenberg Sauvignon Blanc 2021/22, Stellenbosch",£14.99 per bottle,75CL,Sauvignon Blanc,Screwcap,South Africa,"Grass, Citrus Fruit, Floral",White,ABV 13.50%,Stellenbosch,Fresh & Elegant ,2022
Devaux Blanc de Noirs Champagne,£29.99 per bottle,75CL,Pinot Noir,Natural Cork,France,"Red Fruit, Raspberry, Red Cherry",White,ABV 12.00%,,Crisp & Fruity,NV
Gabriel Allard Côtes du Rhône Blanc 2022,£9.99 per bottle,75CL,Marsanne,Natural Cork,France,"Citrus Fruit, Floral, Stone Fruit",White,ABV 13.00%,Rhône,Ripe & Rounded,2022
"Peter Lehmann 'The Barossan' Shiraz 2019/20, Barossa",£18.99 per bottle,75CL,Shiraz,Screwcap,Australia,"Smoke, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Coffee, Leather",Red,ABV 14.50%,South Australia,Bold & Spicy,2020
Marqués de Cáceres Rioja Gran Reserva 2014/15,£22.99 per bottle,75CL,Tempranillo,Natural Cork,Spain,"Vanilla, Black Fruit, Red Fruit, Spice",Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2015
Chosen by Majestic Grüner Veltliner Kremstal DAC 2022,£11.29 per bottle,75CL,Gruner Veltliner,Screwcap,Austria,"Lemon, Peach, Quince, Red Apple, White Pepper",White,ABV 12.50%,Austria,Fresh & Elegant ,2022
Chosen by Majestic Valpolicella Superiore DOC 2020/21,£11.99 per bottle,75CL,Corvina,Screwcap,Italy,"Black Fruit, Red Cherry, Spice, Vanilla",Red,ABV 13.00%,Veneto,Bold & Spicy,2021
Maison Chanzy 'En Rosey' Rully Rouge 2019/20,£24.99 per bottle,75CL,Pinot Noir,Natural Cork,France,"Strawberry, Cranberry, Red Cherry",Red,ABV 14.00%,Burgundy,Light & Elegant,2020
Triplica Greco di Tufo DOCG 2021/22,£12.99 per bottle,75CL,Greco,Natural Cork,Italy,"Stone Fruit, Citrus Fruit, Floral",White,ABV 13.00%,Campania,Crisp & Zesty,2021
"Vilarnau ‘Gaudi’ Organic Cava Brut Reserva, Penedès",£13.99 per bottle,750ML,Macabeo,Natural Cork,Spain,"Bread, Green Apple, Pastry, Pear",White,ABV 11.50%,,Crisp & Zesty,NV
"Pardon et Fils Fleurie 2021/22, Côte des Labourons",£15.99 per bottle,75CL,Gamay,Natural Cork,France,"Strawberry, Black Cherry, Raspberry",Red,ABV 13.50%,Beaujolais,Soft & Fruity,2022
"Peyrassol 'Réserve des Templiers' Rosé 2021/22 Magnum, Côtes de Provence",£35.99 per bottle,1.5LTR,Grenache,Synthetic Cork,France,"Herbaceous, Peach, Raspberry, Strawberry",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
"Rustenberg Cabernet Sauvignon, 2020/21 Stellenbosch",£14.99 per bottle,75CL,Cabernet Sauvignon,Natural Cork,South Africa,"Tobacco, Black Fruit, Black Plum, Blackcurrant, Earth",Red,ABV 14.00%,Stellenbosch,Smooth & Mellow,2021
Baron de Boutisse Saint-Émilion Grand Cru 2018/19,£19.99 per bottle,75CL,Merlot,Natural Cork,France,"Cedar, Black Plum, Blackcurrant",Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2019
"Chosen by Majestic Pinot Noir 2022, France",£9.99 per bottle,75CL,Pinot Noir,Screwcap,France,"Red Cherry, Red Fruit, Sweet Spice",Red,ABV 12.50%,,Light & Elegant,2022
Chosen by Majestic Vinho Verde DOC 2022,£8.99 per bottle,75CL,Loureiro,Screwcap,Portugal,"Citrus Fruit, Green Apple, Lemon",White,ABV 11.00%,Vinho Verde,Crisp & Zesty,2022
Gabriel Allard Côtes du Rhône Rouge 2022,£9.99 per bottle,75CL,Grenache,Natural Cork,France,"Black Pepper, Black Plum, Red Fruit",Red,ABV 14.50%,Rhône,Smooth & Mellow,2022
Alain Jaume 'Roquedon' Organic Lirac 2018/19,£18.99 per bottle,75CL,Grenache,Natural Cork,France,"Spice, Black Plum, Blackberry, Earth, Raspberry",Red,ABV 15.00%,Rhône,Bold & Spicy,2019
"Mirabeau 'Pure' Rosé 2021/22 Magnum, Côtes de Provence",£37.99 per bottle,1.5LTR,Grenache,Synthetic Cork,France,"Herbaceous, Peach, Raspberry, Strawberry",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
"Jim Barry 'The Lodge Hill' Riesling 2021/22, Clare Valley",£15.99 per bottle,75CL,Riesling,Screwcap,Australia,"Petrol, Citrus Fruit, Grapefruit, Green Apple, Honeysuckle, Lemon, Lime, Orange, Peach, Pear",White,ABV 12.50%,South Australia,Fresh & Elegant ,2022
"Nettie Viognier 2019/21, California",£11.99 per bottle,75CL,Viognier,Screwcap,USA,"Pear, Apricot, Floral, Honey, Peach",White,ABV 14.00%,California,Aromatic & Floral,2021
"Thierry Delaunay 'Manoir' Sauvignon Blanc 2021/22, Touraine",£12.99 per bottle,75CL,Sauvignon Blanc,Screwcap,France,"Green Apple, Citrus Fruit, Grass",White,ABV 13.00%,Loire,Fresh & Elegant ,2022
Lanson Le Black Label Brut Champagne Magnum,£99.99 per bottle,1.5LTR,Chardonnay,Natural Cork,France,"Bread, Citrus Fruit, Honey",White,ABV 12.50%,,Crisp & Fruity,NV
"Wind and Waves Alvarinho 2022, Vinho Verde DOC",£11.99 per bottle,75CL,Alvarinho,Screwcap,Portugal,"Citrus Fruit, Floral, Tropical Fruit",White,ABV 12.00%,,Crisp & Zesty,2022
Lanson Le Blanc de Blancs Brut Champagne,£75.99 per bottle,75CL,Chardonnay,Natural Cork,France,,White,ABV 12.50%,,,NV
"Mud House Chilean Sauvignon Blanc 2021/22, Central Valley",£9.99 per bottle,75CL,Sauvignon Blanc,Screwcap,Chile,"Citrus Fruit, Grass, Tropical Fruit",White,ABV 12.50%,Central Valley,Crisp & Zesty,2022
"Château d'Anglès 'Grand Vin' 2019/20, La Clape",£18.99 per bottle,75CL,Mourvèdre,Natural Cork,France,"Spice, Black Fruit, Dried Herbs",Red,ABV 14.50%,Languedoc-Roussillon,Bold & Spicy,2020
Bouvet Ladubay Saumur Rosé Brut,£14.99 per bottle,75CL,Cabernet Franc,Natural Cork,France,"Strawberry, Floral, Peach, Raspberry, Red Fruit",Rosé,ABV 12.50%,Loire,Crisp & Fruity,NV
"Petaluma ‘White Label’ Sauvignon Blanc 2021, Adelaide Hills",£19.99 per bottle,75CL,Sauvignon Blanc,Screwcap,Australia,"Grapefruit, Grass, Lemon, Melon, Passionfruit",White,ABV 12.50%,South Australia,Crisp & Zesty,2021
Rosé Classics 6 Bottle Wine Case,£79.00 per case,Our,,,,,Rosé,,,,
"Beato Bartolomeo ‘Naturae' Pinot Noir 2021, Veneto",£11.99 per bottle,75CL,Pinot Noir,Screwcap,Italy,"Raspberry, Red Fruit, Strawberry",Red,ABV 12.00%,Veneto,Light & Elegant,2021
"Beato Bartolomeo ‘Naturae' Vespaiolo 2022, Breganze DOC",£11.99 per bottle,75CL,Vespaiola,Screwcap,Italy,"Grapefruit, Honey, Lemon",White,ABV 12.00%,Veneto,Crisp & Zesty,2022
Chosen by Majestic Picpoul de Pinet 2022,£11.29 per bottle,75CL,Picpoul,Screwcap,France,"Citrus Fruit, Green Apple, Mineral",White,ABV 12.00%,Languedoc-Roussillon,Crisp & Zesty,2022
Piccini ‘Histrio’ Organic Anfora Toscana Bianco 2022,£12.99 per bottle,75CL,Vermentino,Natural Cork,Italy,"Floral, Spice, Tropical Fruit",White,ABV 12.50%,Tuscany,Ripe & Rounded,2022
Piccini ‘Histrio’ Organic Anfora Toscana Rosso 2020,£12.99 per bottle,75CL,Sangiovese,Natural Cork,Italy,"Floral, Red Cherry, Red Fruit",Red,ABV 13.50%,Tuscany,Soft & Fruity,2020
"Château Minuty 'M de Minuty' Rosé 2021/22, Côtes de Provence",£17.99 per bottle,75CL,Grenache,Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
Nicolas Feuillatte 'Grande Réserve' Brut Champagne,£29.99 per bottle,750ML,Pinot Meunier,Natural Cork,France,,White,ABV 12.00%,,Rich & Toasty,NV
Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2022,£16.99 per bottle,75CL,Chardonnay,Natural Cork,France,"Peach, Apricot, Floral, Lemon",White,ABV 13.00%,Burgundy,Ripe & Rounded,2022
"Toast & Honey Chardonnay 2021, California",£14.99 per bottle,75CL,Chardonnay,Natural Cork,USA,"Almond, Coconut, Green Apple, Honey, Peach, Pineapple, Stone Fruit, Vanilla, Toast",White,ABV 13.00%,California,Rich & Toasty,2021
Domini Veneti 'La Casetta' Valpolicella Ripasso DOC Superiore 2019,£18.99 per bottle,75CL,Corvina,Natural Cork,Italy,"Vanilla, Fig, Red Cherry, Red Plum, Sweet Spice",Red,ABV 14.50%,Veneto,Rich & Juicy,2019
Langlois-Chateau 'L'Extra par Langlois' Crémant de Loire Brut,£15.99 per bottle,75CL,Chenin Blanc,Natural Cork,France,"Bread, Green Apple, Pear",White,ABV 12.50%,Loire,Crisp & Fruity,NV
"The Guv'nor Blanco, Spain",£8.99 per bottle,75CL,Verdejo,Screwcap,Spain,"Lime, Fennel, Green Apple",White,ABV 12.50%,,Crisp & Zesty,NV
E. Guigal Côtes du Rhône 2019/20,£14.99 per bottle,75CL,Grenache,Natural Cork,France,"White Pepper, Black Plum, Blackberry, Earth, Raspberry, Spice",Red,ABV 15.00%,Rhône,Bold & Spicy,2020
"Ridgeview 'Fitzrovia' Rosé, Sussex",£43.99 per bottle,750ML,Chardonnay,Natural Cork,England,"Honey, Lemon, Raspberry, Red Cherry",Rosé,ABV 12.00%,Sussex,Crisp & Fruity,NV
"Toast & Honey Pinot Noir 2021/22, California",£14.99 per bottle,75CL,Pinot Noir,Natural Cork,USA,"Black Cherry, Cedar, Raspberry, Red Fruit, Smoke, Toast",Red,ABV 13.00%,California,Smooth & Mellow,2022
"Selladore en Provence Rosé 2021, Coteaux Varois en Provence",£21.99 per bottle,75CL,Grenache,Vinolok,France,"Citrus Fruit, Red Fruit, Mineral",Rosé,ABV 13.00%,Provence,Delicate & Dry,2021
Definition Gavi di Gavi DOCG 2021/22,£14.99 per bottle,75CL,Cortese,Screwcap,Italy,"Green Apple, Herbaceous, Pear",White,ABV 12.50%,Piedmont,Fresh & Elegant ,2022
"Pasqua 'Desire, Lush & Zin' Primitivo 2021/22, Puglia",£12.99 per bottle,75CL,Primitivo,Natural Cork,Italy,"Vanilla, Black Fruit, Black Plum",Red,ABV 13.50%,Puglia,Rich & Juicy,2022
La Toledana Gavi di Gavi DOCG 2021,£15.99 per bottle,75CL,Cortese,Natural Cork,Italy,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",White,ABV 13.00%,Piedmont,Aromatic & Floral,2021
